"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2021","89.68","89.60","90.10","89.08","1.17M","0.73%"
"06/10/2021","89.03","90.33","90.97","87.87","1.10M","0.17%"
"06/09/2021","88.88","89.36","90.03","88.51","1.86M","-1.44%"
"06/08/2021","90.18","88.16","90.36","86.86","2.20M","1.27%"
"06/07/2021","89.05","88.63","89.56","88.32","1.13M","0.15%"
"06/04/2021","88.92","88.61","89.00","86.96","1.28M","1.62%"
"06/03/2021","87.50","88.00","88.58","87.28","2.06M","-1.02%"
"06/02/2021","88.40","88.28","89.04","87.10","1.75M","0.72%"
"06/01/2021","87.77","86.69","88.21","86.15","2.43M","4.71%"
"05/28/2021","83.82","85.50","85.67","83.68","1.45M","-1.61%"
"05/27/2021","85.19","84.34","85.59","83.77","2.53M","1.42%"
"05/26/2021","84.00","82.48","84.29","81.74","1.32M","1.90%"
"05/25/2021","82.43","83.84","84.37","82.15","1.52M","-2.09%"
"05/24/2021","84.19","82.84","84.32","81.68","1.57M","2.75%"
"05/21/2021","81.94","82.99","83.80","81.87","1.84M","-0.02%"
"05/20/2021","81.96","82.67","82.69","80.63","1.98M","-0.93%"
"05/19/2021","82.73","82.88","83.87","81.08","2.10M","-2.43%"
"05/18/2021","84.79","86.32","86.94","84.56","1.46M","-1.89%"
"05/17/2021","86.42","83.70","86.50","83.56","1.98M","2.48%"
"05/14/2021","84.33","80.74","84.50","80.74","1.96M","6.13%"
"05/13/2021","79.46","80.00","82.03","78.82","2.12M","-2.07%"
"05/12/2021","81.14","81.74","84.31","80.88","1.83M","-0.01%"
"05/11/2021","81.15","80.88","82.25","79.74","1.69M","-1.71%"
"05/10/2021","82.56","83.50","84.27","82.10","2.15M","0.04%"
"05/07/2021","82.53","79.98","82.74","79.31","1.84M","1.53%"
"05/06/2021","81.29","80.99","81.40","77.45","3.23M","0.42%"
"05/05/2021","80.95","78.35","81.57","77.44","3.17M","4.91%"
"05/04/2021","77.16","77.37","78.37","76.14","2.09M","0.27%"
"05/03/2021","76.95","75.71","77.13","75.34","2.01M","3.27%"
"04/30/2021","74.51","75.50","77.38","74.39","2.15M","-2.91%"
"04/29/2021","76.74","77.00","78.25","75.80","2.07M","1.05%"
"04/28/2021","75.94","70.14","76.95","70.00","4.06M","7.79%"
"04/27/2021","70.45","68.57","70.83","68.56","1.98M","3.37%"
"04/26/2021","68.15","67.40","68.40","67.06","1.83M","1.28%"
"04/23/2021","67.29","67.29","67.78","66.70","1.77M","0.40%"
"04/22/2021","67.02","68.22","68.60","66.44","1.62M","-1.47%"
"04/21/2021","68.02","66.65","68.35","66.47","2.89M","0.43%"
"04/20/2021","67.73","69.39","69.39","66.36","3.03M","-2.41%"
"04/19/2021","69.40","69.62","70.69","68.52","1.52M","0.09%"
"04/16/2021","69.34","70.97","70.97","69.15","2.28M","-1.74%"
"04/15/2021","70.57","72.17","72.20","70.28","2.12M","-2.41%"
"04/14/2021","72.31","71.30","74.10","71.03","3.15M","2.52%"
"04/13/2021","70.53","72.70","72.70","70.41","2.04M","-3.32%"
"04/12/2021","72.95","74.58","74.98","72.93","2.44M","-1.15%"
"04/09/2021","73.80","73.61","74.67","73.05","2.43M","0.50%"
"04/08/2021","73.43","72.08","73.66","71.56","2.60M","0.58%"
"04/07/2021","73.01","71.32","73.15","71.21","1.97M","2.14%"
"04/06/2021","71.48","71.20","73.84","71.20","1.39M","1.02%"
"04/05/2021","70.76","73.72","73.76","70.73","1.64M","-4.99%"
"04/01/2021","74.48","71.74","74.55","71.35","1.92M","5.26%"
"03/31/2021","70.76","71.81","72.33","70.70","1.98M","-0.39%"
"03/30/2021","71.04","70.97","71.86","70.00","1.29M","-0.80%"
"03/29/2021","71.61","71.75","72.50","70.50","1.75M","-0.98%"
"03/26/2021","72.32","70.72","72.40","69.99","1.71M","4.89%"
"03/25/2021","68.95","67.46","69.15","66.20","2.15M","-0.19%"
"03/24/2021","69.08","68.35","69.82","68.03","1.96M","3.17%"
"03/23/2021","66.96","66.66","68.51","66.00","2.73M","-2.25%"
"03/22/2021","68.50","68.73","69.42","67.99","2.25M","-0.16%"
"03/19/2021","68.61","67.79","70.05","66.71","4.72M","1.92%"
"03/18/2021","67.32","69.94","70.27","67.06","2.41M","-4.98%"
"03/17/2021","70.85","69.02","71.22","68.80","2.33M","2.67%"
"03/16/2021","69.01","70.04","70.19","68.55","1.96M","-3.46%"
"03/15/2021","71.48","71.97","72.06","70.63","1.65M","-1.39%"
"03/12/2021","72.49","73.42","73.50","72.25","1.72M","-0.96%"
"03/11/2021","73.19","71.50","73.98","71.01","2.75M","3.24%"
"03/10/2021","70.89","70.25","72.04","69.55","3.20M","0.55%"
"03/09/2021","70.50","72.56","74.29","70.38","2.87M","-4.45%"
"03/08/2021","73.78","75.04","76.24","73.15","2.21M","-1.68%"
"03/05/2021","75.04","73.60","75.70","71.52","3.79M","6.00%"
"03/04/2021","70.79","67.91","72.32","67.64","3.41M","4.66%"
"03/03/2021","67.64","65.49","69.60","65.37","2.21M","4.50%"
"03/02/2021","64.73","65.99","66.79","64.61","2.51M","-1.22%"
"03/01/2021","65.53","66.31","67.25","65.08","2.13M","0.00%"
"02/26/2021","65.53","66.01","66.79","63.15","2.39M","-2.14%"
"02/25/2021","66.96","69.25","69.52","66.47","2.58M","-2.67%"
"02/24/2021","68.80","68.29","70.50","67.15","4.25M","0.79%"
"02/23/2021","68.26","66.40","68.27","63.37","2.88M","4.36%"
"02/22/2021","65.41","63.68","66.91","63.68","2.52M","2.88%"
"02/19/2021","63.58","61.00","63.69","60.85","2.42M","4.71%"
"02/18/2021","60.72","61.60","62.32","60.39","1.78M","-1.78%"
"02/17/2021","61.82","61.64","63.05","60.91","1.83M","0.11%"
"02/16/2021","61.75","61.27","62.61","60.51","2.20M","2.92%"
"02/12/2021","60.00","57.50","60.13","57.50","2.23M","3.59%"
"02/11/2021","57.92","59.78","60.20","57.36","2.23M","-2.98%"
"02/10/2021","59.70","58.87","60.50","58.69","2.44M","2.14%"
"02/09/2021","58.45","59.73","59.99","58.37","2.16M","-3.20%"
"02/08/2021","60.38","57.80","60.55","57.77","1.93M","6.04%"
"02/05/2021","56.94","59.20","59.28","56.88","2.07M","-1.61%"
"02/04/2021","57.87","58.69","58.85","56.33","2.39M","-0.84%"
"02/03/2021","58.36","54.84","58.43","54.56","2.43M","7.12%"
"02/02/2021","54.48","56.34","56.69","54.40","1.56M","-0.04%"
"02/01/2021","54.50","55.02","55.38","53.43","1.39M","0.96%"
"01/29/2021","53.98","55.42","56.14","53.67","1.74M","-3.43%"
"01/28/2021","55.90","56.57","57.16","54.41","2.13M","-0.13%"
"01/27/2021","55.97","56.70","59.04","54.75","2.62M","-2.13%"
"01/26/2021","57.19","58.52","60.11","57.09","1.91M","-1.48%"
"01/25/2021","58.05","58.85","59.22","57.21","2.91M","-3.14%"
"01/22/2021","59.93","58.84","60.36","58.07","2.05M","-1.28%"
"01/21/2021","60.71","62.00","62.25","59.00","2.32M","-2.49%"
"01/20/2021","62.26","62.93","62.93","61.51","1.09M","0.19%"
"01/19/2021","62.14","61.84","62.86","61.05","2.06M","1.80%"
"01/15/2021","61.04","62.51","62.56","60.25","1.97M","-4.30%"
"01/14/2021","63.78","62.57","64.82","62.57","1.72M","2.71%"
"01/13/2021","62.10","63.61","63.80","61.53","1.19M","-2.73%"
"01/12/2021","63.84","61.64","63.90","61.17","1.96M","4.76%"
"01/11/2021","60.94","58.60","60.96","58.26","1.20M","1.15%"
"01/08/2021","60.25","61.62","61.93","59.93","1.71M","-1.49%"
"01/07/2021","61.16","60.00","61.69","59.65","1.76M","2.39%"
"01/06/2021","59.73","57.46","59.98","56.69","2.76M","5.64%"
"01/05/2021","56.54","53.54","57.78","53.54","2.36M","7.08%"
"01/04/2021","52.80","53.85","54.60","52.65","2.14M","0.02%"
"12/31/2020","52.79","53.48","53.49","52.36","1.38M","-1.82%"
"12/30/2020","53.77","52.47","53.91","52.47","1.54M","2.28%"
"12/29/2020","52.57","53.20","53.56","52.18","901.43K","-0.49%"
"12/28/2020","52.83","53.98","54.87","52.64","894.64K","-1.33%"
"12/24/2020","53.54","54.19","54.25","53.28","783.13K","-1.22%"
"12/23/2020","54.20","52.69","54.93","52.69","1.21M","4.05%"
"12/22/2020","52.09","54.19","54.38","52.03","1.94M","-4.05%"
"12/21/2020","54.29","53.53","55.00","52.83","1.89M","-2.97%"
"12/18/2020","55.95","56.92","57.54","55.29","4.78M","-1.27%"
"12/17/2020","56.67","57.30","57.86","56.14","2.02M","0.09%"
"12/16/2020","56.62","56.72","57.62","55.28","2.93M","0.39%"
"12/15/2020","56.40","54.73","56.48","54.10","2.27M","4.64%"
"12/14/2020","53.90","57.44","58.00","53.66","1.84M","-4.82%"
"12/11/2020","56.63","56.75","57.42","56.01","1.95M","-1.17%"
"12/10/2020","57.30","54.17","58.25","54.17","3.81M","5.93%"
"12/09/2020","54.09","53.51","54.89","52.62","2.12M","2.54%"
"12/08/2020","52.75","51.63","53.47","51.55","1.65M","0.42%"
"12/07/2020","52.53","53.65","53.65","52.00","1.98M","-3.42%"
"12/04/2020","54.39","52.19","54.39","52.04","2.25M","6.65%"
"12/03/2020","51.00","49.60","52.00","48.95","1.93M","3.85%"
"12/02/2020","49.11","47.49","50.04","47.10","1.93M","2.83%"
"12/01/2020","47.76","48.90","49.84","47.39","3.01M","1.23%"
"11/30/2020","47.18","50.06","50.98","46.88","4.31M","-7.07%"
"11/27/2020","50.77","51.83","52.53","50.48","1.25M","-3.44%"
"11/25/2020","52.58","52.80","54.02","52.17","2.18M","-1.98%"
"11/24/2020","53.64","51.59","54.47","50.65","3.62M","7.41%"
"11/23/2020","49.94","47.53","49.98","47.51","3.01M","7.31%"
"11/20/2020","46.54","46.81","47.11","46.06","1.74M","-1.13%"
"11/19/2020","47.07","45.55","47.18","44.80","1.72M","2.26%"
"11/18/2020","46.03","47.41","48.40","45.91","2.69M","-2.71%"
"11/17/2020","47.31","46.37","47.39","44.69","2.85M","1.05%"
"11/16/2020","46.82","45.42","47.05","44.36","3.22M","7.83%"
"11/13/2020","43.42","42.00","43.73","41.91","1.69M","4.40%"
